Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2013-03-14 16:05:00,72.2,62.7,30.18,NNE,14,20.0,21.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:05:00
2013-03-14 16:10:00,72.2,62.3,30.18,NE,48,19.0,19.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:10:00
2013-03-14 16:15:00,72.3,62.8,30.18,NE,40,19.0,19.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:15:00
2013-03-14 16:25:00,72.4,62.1,30.18,NE,35,19.0,20.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:25:00
2013-03-14 16:35:00,72.1,61.8,30.18,NE,34,18.0,21.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:35:00
2013-03-14 16:45:00,72.0,61.7,30.18,NE,44,18.0,18.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:45:00
2013-03-14 16:50:00,72.0,61.7,30.18,NNE,33,18.0,21.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 22:50:00
2013-03-14 17:00:00,72.3,62.0,30.18,NE,52,19.0,19.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:00:00
2013-03-14 17:05:00,72.2,61.0,30.18,NE,42,19.0,22.0,68,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:05:00
2013-03-14 17:15:00,72.1,61.8,30.18,NE,37,20.0,22.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:15:00
2013-03-14 17:20:00,72.1,61.8,30.18,NE,37,19.0,19.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:20:00
2013-03-14 17:25:00,72.0,61.3,30.18,NE,45,18.0,19.0,69,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:25:00
2013-03-14 17:30:00,71.9,61.2,30.18,NE,37,18.0,19.0,69,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:30:00
2013-03-14 17:40:00,71.8,61.9,30.18,NE,42,21.0,21.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:40:00
2013-03-14 17:45:00,71.7,62.2,30.18,NE,50,20.0,21.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 23:45:00
2013-03-14 18:00:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:00:00
2013-03-14 18:05:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:05:00
2013-03-14 18:15:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:15:00
2013-03-14 18:25:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:25:00
2013-03-14 18:30:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:30:00
2013-03-14 18:35:00,-999.9,-99.9,30.18,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:35:00
2013-03-14 18:40:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:40:00
2013-03-14 18:45:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:45:00
2013-03-14 18:50:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 00:50:00
2013-03-14 19:00:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:00:00
2013-03-14 19:05:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:05:00
2013-03-14 19:15:00,-999.9,-99.9,30.19,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:15:00
2013-03-14 19:25:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:25:00
2013-03-14 19:30:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:30:00
2013-03-14 19:35:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:35:00
2013-03-14 19:45:00,-999.9,-99.9,30.20,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:45:00
2013-03-14 19:55:00,-999.9,-99.9,30.21,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 01:55:00
2013-03-14 20:00:00,-999.9,-99.9,30.21,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:00:00
2013-03-14 20:05:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:05:00
2013-03-14 20:15:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:15:00
2013-03-14 20:25:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:25:00
2013-03-14 20:35:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:35:00
2013-03-14 20:40:00,-999.9,-99.9,30.23,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:40:00
2013-03-14 20:45:00,-999.9,-99.9,30.22,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:45:00
2013-03-14 20:55:00,-999.9,-99.9,30.23,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 02:55:00
2013-03-14 21:00:00,-999.9,-99.9,30.23,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:00:00
2013-03-14 21:05:00,-999.9,-99.9,30.23,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:05:00
2013-03-14 21:15:00,-999.9,-99.9,30.23,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:15:00
2013-03-14 21:25:00,-999.9,-99.9,30.24,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:25:00
2013-03-14 21:35:00,-999.9,-99.9,30.24,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:35:00
2013-03-14 21:40:00,-999.9,-99.9,30.24,North,32767,-999.0,0.0,255,-99.99,,,0.00,Wunderground v.1.15,2013-03-15 03:40:00
